fid,departure_c,departure,destination_c,destination,take_off_time,landing_time,duration,total_seats,available_seats,sell_status,price
MF8462,KMG,Kunming,HGH,Hangzhou,1667566800,1667576100,155,189,6,SELLING,631
MF5762,KMG,Kunming,HGH,Hangzhou,1667516400,1667534100,295,180,9,SELLING,1488
GJ5684,KMG,Kunming,HGH,Hangzhou,1667566800,1667576100,155,189,9,SELLING,1488
GJ8102,KMG,Kunming,HGH,Hangzhou,1667516400,1667534100,295,180,9,SELLING,512
CZ4743,KMG,Kunming,HGH,Hangzhou,1667516400,1667534100,295,180,9,SELLING,1618
CZ4384,KMG,Kunming,HGH,Hangzhou,1667566800,1667576100,155,189,9,SELLING,1824
CZ9512,KMG,Kunming,HGH,Hangzhou,1667539200,1667548800,160,220,9,SELLING,1846
8L9561,KMG,Kunming,HGH,Hangzhou,1667516400,1667533500,285,180,9,SELLING,501
CA1754,KMG,Kunming,HGH,Hangzhou,1667565000,1667575200,170,180,9,SELLING,664
CA1752,KMG,Kunming,HGH,Hangzhou,1667534400,1667544300,165,180,7,SELLING,707
MU5835,KMG,Kunming,HGH,Hangzhou,1667524500,1667534400,165,100,10,SELLING,857
MU5656,KMG,Kunming,HGH,Hangzhou,1667535300,1667546100,180,244,9,SELLING,761
MU5646,KMG,Kunming,HGH,Hangzhou,1667573400,1667583300,165,180,9,SELLING,642
MU6480,KMG,Kunming,HGH,Hangzhou,1667541600,1667550900,155,180,9,SELLING,761
MU6482,KMG,Kunming,HGH,Hangzhou,1667515800,1667525400,160,180,10,SELLING,781
JD5158,KMG,Kunming,HGH,Hangzhou,1667571600,1667580900,155,220,10,SELLING,550
JD5128,KMG,Kunming,HGH,Hangzhou,1667541000,1667551200,170,180,9,SELLING,722
3U8530,KMG,Kunming,HGH,Hangzhou,1667539200,1667548800,160,220,9,SELLING,745
CA4758,KMG,Kunming,NKG,Nanjing,1667540400,1667550000,160,189,9,SELLING,1336
CZ9455,KMG,Kunming,NKG,Nanjing,1667518800,1667535900,285,240,9,SELLING,1694
CZ1458,KMG,Kunming,NKG,Nanjing,1667541000,1667555700,245,179,9,SELLING,1738
CZ1468,KMG,Kunming,NKG,Nanjing,1667517000,1667527200,170,220,9,SELLING,1738
CZ9471,KMG,Kunming,NKG,Nanjing,1667550900,1667560200,155,180,9,SELLING,1694
CZ1466,KMG,Kunming,NKG,Nanjing,1667564100,1667573400,155,240,9,SELLING,1738
CZ4800,KMG,Kunming,NKG,Nanjing,1667541900,1667551500,160,180,9,SELLING,1608
A67127,KMG,Kunming,NKG,Nanjing,1667524500,1667534100,160,180,9,SELLING,685
JD5516,KMG,Kunming,NKG,Nanjing,1667534700,1667544300,160,180,3,SELLING,793
HO1708,KMG,Kunming,NKG,Nanjing,1667564100,1667573400,155,240,9,SELLING,446
HO1698,KMG,Kunming,NKG,Nanjing,1667541000,1667555700,245,179,9,SELLING,467
HO1710,KMG,Kunming,NKG,Nanjing,1667517000,1667527200,170,220,9,SELLING,424
SC4692,KMG,Kunming,NKG,Nanjing,1667540400,1667550000,160,189,10,SELLING,718
ZH5174,KMG,Kunming,NKG,Nanjing,1667541000,1667555700,245,179,9,SELLING,1380
ZH5197,KMG,Kunming,NKG,Nanjing,1667517000,1667527200,170,220,9,SELLING,1380
ZH5200,KMG,Kunming,NKG,Nanjing,1667564100,1667573400,155,240,9,SELLING,1380
BK2715,KMG,Kunming,NKG,Nanjing,1667528400,1667537700,155,100,9,SELLING,512
KY8225,KMG,Kunming,NKG,Nanjing,1667519700,1667535300,260,189,9,SELLING,615
KY8229,KMG,Kunming,NKG,Nanjing,1667541300,1667550600,155,189,9,SELLING,670
KY8207,KMG,Kunming,NKG,Nanjing,1667541600,1667555400,230,189,9,SELLING,614
3U8235,KMG,Kunming,NKG,Nanjing,1667518800,1667535900,285,240,9,SELLING,431
3U8261,KMG,Kunming,NKG,Nanjing,1667550900,1667560200,155,180,9,SELLING,550
GJ8550,KMG,Kunming,NKG,Nanjing,1667541900,1667551500,160,180,9,SELLING,642
MF5819,KMG,Kunming,NKG,Nanjing,1667541900,1667551500,160,180,9,SELLING,1477
MU2756,KMG,Kunming,NKG,Nanjing,1667546400,1667555400,150,189,9,SELLING,675
MU2766,KMG,Kunming,NKG,Nanjing,1667553600,1667562900,155,180,10,SELLING,511
MU2716,KMG,Kunming,NKG,Nanjing,1667525400,1667534400,150,180,9,SELLING,642
MU2706,KMG,Kunming,NKG,Nanjing,1667520300,1667529600,155,180,9,SELLING,512
FM9454,KMG,Kunming,SHA,Shanghai,1667552700,1667563200,175,148,9,SELLING,1195
FM9430,KMG,Kunming,SHA,Shanghai,1667556300,1667572200,265,140,9,SELLING,688
FM9452,KMG,Kunming,SHA,Shanghai,1667541600,1667551800,170,100,1,SELLING,1412
MU5807,KMG,Kunming,SHA,Shanghai,1667534400,1667544600,170,149,9,SELLING,1391
MU5805,KMG,Kunming,SHA,Shanghai,1667530800,1667541600,180,100,9,SELLING,1391
MU5815,KMG,Kunming,SHA,Shanghai,1667539800,1667550600,180,189,9,SELLING,685
MU8434,KMG,Kunming,SHA,Shanghai,1667541600,1667551800,170,100,1,SELLING,1412
MU5803,KMG,Kunming,SHA,Shanghai,1667523600,1667533800,170,189,9,SELLING,1179
MU5813,KMG,Kunming,SHA,Shanghai,1667563200,1667574000,180,180,9,SELLING,1179
MU5801,KMG,Kunming,SHA,Shanghai,1667520000,1667530500,175,189,9,SELLING,995
MU5811,KMG,Kunming,SHA,Shanghai,1667548800,1667559300,175,149,9,SELLING,1179
MU5190,KMG,Kunming,SHA,Shanghai,1667548200,1667568000,330,189,9,SELLING,685
MU5775,KMG,Kunming,SHA,Shanghai,1667525700,1667543400,295,149,9,SELLING,685
MU5282,KMG,Kunming,SHA,Shanghai,1667525400,1667544600,320,180,9,SELLING,749
MU5220,KMG,Kunming,SHA,Shanghai,1667561700,1667571900,170,189,9,SELLING,541
MU9701,KMG,Kunming,SHA,Shanghai,1667518200,1667529000,180,100,9,SELLING,642
MU9711,KMG,Kunming,SHA,Shanghai,1667552400,1667563500,185,189,7,SELLING,642
MU9743,KMG,Kunming,SHA,Shanghai,1667564700,1667575200,175,189,9,SELLING,509
MU8563,KMG,Kunming,SHA,Shanghai,1667556300,1667572200,265,140,9,SELLING,845
MU5438,KMG,Kunming,SHA,Shanghai,1667545800,1667563500,295,134,9,SELLING,848
MU5809,KMG,Kunming,SHA,Shanghai,1667538000,1667548500,175,140,9,SELLING,1179
MU9727,KMG,Kunming,SHA,Shanghai,1667543400,1667553900,175,180,9,SELLING,848
KY8221,KMG,Kunming,SHA,Shanghai,1667544600,1667555100,175,189,9,SELLING,668
CA8538,KMG,Kunming,SHA,Shanghai,1667562600,1667572800,170,180,9,SELLING,620
3U8201,KMG,Kunming,SHA,Shanghai,1667550600,1667560800,170,180,9,SELLING,550
HO1122,KMG,Kunming,SHA,Shanghai,1667537400,1667547300,165,240,9,SELLING,721
HO1100,KMG,Kunming,SHA,Shanghai,1667562900,1667574300,190,240,9,SELLING,511
HO1020,KMG,Kunming,SHA,Shanghai,1667548500,1667559600,185,240,9,SELLING,511
HO5529,KMG,Kunming,SHA,Shanghai,1667545800,1667563500,295,134,9,SELLING,1976
HO1094,KMG,Kunming,SHA,Shanghai,1667557500,1667574300,280,220,5,SELLING,446
HO5534,KMG,Kunming,SHA,Shanghai,1667534400,1667544600,170,149,9,SELLING,2747
HO5532,KMG,Kunming,SHA,Shanghai,1667548800,1667559300,175,149,9,SELLING,2551
8L9889,KMG,Kunming,SHA,Shanghai,1667520300,1667531400,185,179,9,SELLING,568
CZ9443,KMG,Kunming,SHA,Shanghai,1667550600,1667560800,170,180,9,SELLING,1814
CZ7936,KMG,Kunming,SHA,Shanghai,1667562900,1667574300,190,240,9,SELLING,2974
CZ4912,KMG,Kunming,SHA,Shanghai,1667548500,1667559600,185,240,9,SELLING,2974
CZ3678,KMG,Kunming,SHA,Shanghai,1667535600,1667546100,175,162,9,SELLING,1282
CZ8756,KMG,Kunming,SHA,Shanghai,1667567400,1667578200,180,162,9,SELLING,1282
9C8830,KMG,Kunming,SHA,Shanghai,1667559300,1667576100,280,186,4,SELLING,525
9C8954,KMG,Kunming,SHA,Shanghai,1667538900,1667548800,165,186,4,SELLING,676
CA4826,KMG,Kunming,TAO,Qingdao,1667515500,1667534100,310,189,9,SELLING,1597
8L9869,KMG,Kunming,TAO,Qingdao,1667537400,1667556900,325,162,9,SELLING,935
A67107,KMG,Kunming,TAO,Qingdao,1667524200,1667536500,205,180,9,SELLING,816
MU9685,KMG,Kunming,TAO,Qingdao,1667525400,1667538000,210,140,9,SELLING,816
MU5686,KMG,Kunming,TAO,Qingdao,1667540400,1667553000,210,180,9,SELLING,1054
SC4828,KMG,Kunming,TAO,Qingdao,1667515500,1667534100,310,189,9,SELLING,816
CZ3542,KMG,Kunming,WUH,Wuhan,1667520900,1667528700,130,164,9,SELLING,957
CZ8576,KMG,Kunming,WUH,Wuhan,1667537700,1667545500,130,189,9,SELLING,957
CZ3470,KMG,Kunming,WUH,Wuhan,1667570700,1667578500,130,188,9,SELLING,957
CZ6426,KMG,Kunming,WUH,Wuhan,1667546400,1667554200,130,180,9,SELLING,957
MU2481,KMG,Kunming,WUH,Wuhan,1667532600,1667540400,130,149,9,SELLING,620
MU2498,KMG,Kunming,WUH,Wuhan,1667576100,1667583900,130,149,9,SELLING,447
MU2486,KMG,Kunming,WUH,Wuhan,1667537400,1667545200,130,140,9,SELLING,620
DR6533,KMG,Kunming,WUH,Wuhan,1667562600,1667570700,135,148,9,SELLING,512
8L9899,KMG,Kunming,WUH,Wuhan,1667574300,1667581500,120,180,9,SELLING,477
8L9869,KMG,Kunming,WUH,Wuhan,1667537400,1667545500,135,162,9,SELLING,599
3U8249,KMG,Kunming,XMN,Amoy,1667515800,1667525700,165,180,9,SELLING,469
HO5695,KMG,Kunming,XMN,Amoy,1667561400,1667570100,145,180,9,SELLING,1163
MU5222,KMG,Kunming,XMN,Amoy,1667561400,1667570100,145,180,9,SELLING,566
MU5781,KMG,Kunming,XMN,Amoy,1667550300,1667558700,140,100,9,SELLING,620
CZ9463,KMG,Kunming,XMN,Amoy,1667515800,1667525700,165,180,9,SELLING,1575
CZ4342,KMG,Kunming,XMN,Amoy,1667554200,1667564100,165,189,9,SELLING,1694
CZ4330,KMG,Kunming,XMN,Amoy,1667536200,1667546100,165,189,9,SELLING,1694
CZ4354,KMG,Kunming,XMN,Amoy,1667563500,1667572800,155,189,9,SELLING,1694
MF8430,KMG,Kunming,XMN,Amoy,1667563500,1667572800,155,189,6,SELLING,512
MF8418,KMG,Kunming,XMN,Amoy,1667554200,1667564100,165,189,6,SELLING,566
MF8406,KMG,Kunming,XMN,Amoy,1667536200,1667546100,165,189,6,SELLING,653
MF3148,KMG,Kunming,XMN,Amoy,1667561400,1667570100,145,180,9,SELLING,1532
KY8211,KMG,Kunming,XMN,Amoy,1667524800,1667533800,150,189,9,SELLING,553
KY8213,KMG,Kunming,XMN,Amoy,1667534100,1667544000,165,189,9,SELLING,651
KY8215,KMG,Kunming,XMN,Amoy,1667545800,1667554800,150,189,9,SELLING,614
GJ5630,KMG,Kunming,XMN,Amoy,1667536200,1667546100,165,189,9,SELLING,1369
GJ5642,KMG,Kunming,XMN,Amoy,1667554200,1667564100,165,189,9,SELLING,1369
GJ5654,KMG,Kunming,XMN,Amoy,1667563500,1667572800,155,189,9,SELLING,1369
MU2831,NKG,Nanjing,BJS,Beijing,1667545200,1667552400,120,180,7,SELLING,511
MU2851,NKG,Nanjing,BJS,Beijing,1667559600,1667567100,125,189,10,SELLING,511
MU2811,NKG,Nanjing,BJS,Beijing,1667520600,1667528400,130,189,8,SELLING,511
CA1848,NKG,Nanjing,BJS,Beijing,1667541300,1667548800,125,189,9,SELLING,1467
CA1504,NKG,Nanjing,BJS,Beijing,1667565300,1667572500,120,134,9,SELLING,1228
CA1562,NKG,Nanjing,BJS,Beijing,1667553900,1667561100,120,189,9,SELLING,2185
CA1818,NKG,Nanjing,BJS,Beijing,1667532300,1667539500,120,220,9,SELLING,1228
PN6236,NKG,Nanjing,CKG,Chongqing,1667571600,1667581500,165,180,9,SELLING,382
PN6290,NKG,Nanjing,CKG,Chongqing,1667575200,1667584500,155,180,9,SELLING,382
GS6598,NKG,Nanjing,CKG,Chongqing,1667551800,1667560800,150,174,9,SELLING,393
CA4558,NKG,Nanjing,CKG,Chongqing,1667565900,1667575800,165,189,9,SELLING,400
CA3764,NKG,Nanjing,CKG,Chongqing,1667572200,1667581200,150,170,9,SELLING,1043
CZ9388,NKG,Nanjing,CKG,Chongqing,1667548200,1667556900,145,180,9,SELLING,1315
CZ9386,NKG,Nanjing,CKG,Chongqing,1667529600,1667539500,165,167,9,SELLING,1315
CZ2822,NKG,Nanjing,CKG,Chongqing,1667534700,1667544300,160,144,9,SELLING,946
CZ9390,NKG,Nanjing,CKG,Chongqing,1667564100,1667573400,155,240,9,SELLING,1315
MU2835,NKG,Nanjing,CKG,Chongqing,1667559900,1667569200,155,180,10,SELLING,435
MU2735,NKG,Nanjing,CKG,Chongqing,1667542200,1667551800,160,189,10,SELLING,458
MU2845,NKG,Nanjing,CKG,Chongqing,1667552100,1667561700,160,180,9,SELLING,513
MU2925,NKG,Nanjing,CKG,Chongqing,1667519400,1667529300,165,244,10,SELLING,435
HU7426,NKG,Nanjing,CKG,Chongqing,1667530500,1667539800,155,189,9,SELLING,780
3U8046,NKG,Nanjing,CKG,Chongqing,1667564100,1667573400,155,240,9,SELLING,463
3U8044,NKG,Nanjing,CKG,Chongqing,1667548200,1667556900,145,180,9,SELLING,496
3U8042,NKG,Nanjing,CKG,Chongqing,1667529600,1667539500,165,167,9,SELLING,561
OQ2322,NKG,Nanjing,CKG,Chongqing,1667534700,1667544300,160,144,9,SELLING,531
ZH9464,NKG,Nanjing,CKG,Chongqing,1667572200,1667581200,150,170,9,SELLING,620
ZH5141,NKG,Nanjing,CKG,Chongqing,1667542800,1667551800,150,179,9,SELLING,1087
KY9144,NKG,Nanjing,CKG,Chongqing,1667572200,1667581200,150,170,9,SELLING,978
HO1693,NKG,Nanjing,CKG,Chongqing,1667542800,1667551800,150,179,9,SELLING,413
EU2440,NKG,Nanjing,CTU,Chengdu,1667566800,1667577300,175,180,9,SELLING,403
EU2438,NKG,Nanjing,CTU,Chengdu,1667558700,1667570100,190,180,9,SELLING,425
8L9690,NKG,Nanjing,CTU,Chengdu,1667532300,1667542500,170,180,9,SELLING,488
8L9660,NKG,Nanjing,CTU,Chengdu,1667537100,1667556000,315,180,9,SELLING,488
DZ6336,NKG,Nanjing,CTU,Chengdu,1667546400,1667557500,185,148,9,SELLING,989
CA4524,NKG,Nanjing,CTU,Chengdu,1667533800,1667545500,195,220,9,SELLING,675
CA3579,NKG,Nanjing,CTU,Chengdu,1667563800,1667574300,175,174,9,SELLING,1553
CA4532,NKG,Nanjing,CTU,Chengdu,1667544900,1667555700,180,180,9,SELLING,620
CA3517,NKG,Nanjing,CTU,Chengdu,1667546400,1667557200,180,170,9,SELLING,1553
CA4506,NKG,Nanjing,CTU,Chengdu,1667550000,1667560800,180,220,9,SELLING,534
TV9820,NKG,Nanjing,CTU,Chengdu,1667569800,1667580000,170,134,9,SELLING,458
CZ9686,NKG,Nanjing,CTU,Chengdu,1667533800,1667544300,175,167,9,SELLING,1987
CZ9690,NKG,Nanjing,CTU,Chengdu,1667562000,1667572200,170,311,9,SELLING,1987
CZ9692,NKG,Nanjing,CTU,Chengdu,1667571600,1667581800,170,412,9,SELLING,1987
CZ9328,NKG,Nanjing,CTU,Chengdu,1667559900,1667570400,175,132,9,SELLING,2269
CZ9688,NKG,Nanjing,CTU,Chengdu,1667543400,1667554200,180,220,9,SELLING,1987
CZ9986,NKG,Nanjing,CTU,Chengdu,1667546400,1667557500,185,148,9,SELLING,1803
MU2787,NKG,Nanjing,CTU,Chengdu,1667552100,1667563800,195,189,3,SELLING,437
MU2815,NKG,Nanjing,CTU,Chengdu,1667544000,1667554800,180,244,3,SELLING,437
MU2805,NKG,Nanjing,CTU,Chengdu,1667521200,1667532000,180,189,7,SELLING,437
3U8990,NKG,Nanjing,CTU,Chengdu,1667533800,1667544300,175,167,9,SELLING,729
3U6914,NKG,Nanjing,CTU,Chengdu,1667559900,1667570400,175,132,9,SELLING,447
3U8996,NKG,Nanjing,CTU,Chengdu,1667571600,1667581800,170,412,9,SELLING,566
3U8994,NKG,Nanjing,CTU,Chengdu,1667562000,1667572200,170,311,9,SELLING,512
3U8992,NKG,Nanjing,CTU,Chengdu,1667543400,1667554200,180,220,9,SELLING,675
HO1695,NKG,Nanjing,CTU,Chengdu,1667547300,1667558100,180,240,9,SELLING,559
HO1721,NKG,Nanjing,CTU,Chengdu,1667523600,1667534700,185,220,9,SELLING,559
KY9567,NKG,Nanjing,CTU,Chengdu,1667546400,1667557200,180,170,9,SELLING,1553
KY9569,NKG,Nanjing,CTU,Chengdu,1667563800,1667574300,175,174,9,SELLING,1553
ZH3954,NKG,Nanjing,CTU,Chengdu,1667569800,1667580000,170,134,9,SELLING,1119
ZH9569,NKG,Nanjing,CTU,Chengdu,1667563800,1667574300,175,174,9,SELLING,512
ZH9567,NKG,Nanjing,CTU,Chengdu,1667546400,1667557200,180,170,9,SELLING,566
BK2716,NKG,Nanjing,KMG,Kunming,1667541300,1667553000,195,100,9,SELLING,512
KY8208,NKG,Nanjing,KMG,Kunming,1667559000,1667577900,315,189,5,SELLING,484
KY8226,NKG,Nanjing,KMG,Kunming,1667538900,1667555700,280,189,9,SELLING,425
KY8230,NKG,Nanjing,KMG,Kunming,1667554500,1667566500,200,189,9,SELLING,531
ZH5173,NKG,Nanjing,KMG,Kunming,1667521500,1667537100,260,179,9,SELLING,1380
HO1707,NKG,Nanjing,KMG,Kunming,1667547900,1667560200,205,240,7,SELLING,522
HO1709,NKG,Nanjing,KMG,Kunming,1667562900,1667574600,195,220,8,SELLING,413
HO1697,NKG,Nanjing,KMG,Kunming,1667521500,1667537100,260,179,2,SELLING,478
A67128,NKG,Nanjing,KMG,Kunming,1667568000,1667579700,195,180,9,SELLING,512
SC4691,NKG,Nanjing,KMG,Kunming,1667524800,1667536500,195,189,4,SELLING,761
3U8262,NKG,Nanjing,KMG,Kunming,1667564100,1667575500,190,180,9,SELLING,431
3U8236,NKG,Nanjing,KMG,Kunming,1667540400,1667559600,320,240,9,SELLING,431
JD5515,NKG,Nanjing,KMG,Kunming,1667518500,1667530500,200,180,9,SELLING,544
CA4757,NKG,Nanjing,KMG,Kunming,1667524800,1667536500,195,189,9,SELLING,1336
MU2765,NKG,Nanjing,KMG,Kunming,1667563200,1667574900,195,180,3,SELLING,436
MU2755,NKG,Nanjing,KMG,Kunming,1667558700,1667571300,210,180,7,SELLING,512
MU2725,NKG,Nanjing,KMG,Kunming,1667538600,1667549700,185,180,9,SELLING,772
MU2715,NKG,Nanjing,KMG,Kunming,1667530800,1667542200,190,189,9,SELLING,772
CZ1465,NKG,Nanjing,KMG,Kunming,1667547900,1667560200,205,240,9,SELLING,1738
CZ9472,NKG,Nanjing,KMG,Kunming,1667564100,1667575500,190,180,9,SELLING,1694
CZ4799,NKG,Nanjing,KMG,Kunming,1667556300,1667568600,205,180,9,SELLING,1608
CZ9456,NKG,Nanjing,KMG,Kunming,1667540400,1667559600,320,240,9,SELLING,1694
CZ1457,NKG,Nanjing,KMG,Kunming,1667521500,1667537100,260,179,9,SELLING,1738
MF5818,NKG,Nanjing,KMG,Kunming,1667556300,1667568600,205,180,9,SELLING,1477
GJ8549,NKG,Nanjing,KMG,Kunming,1667556300,1667568600,205,180,9,SELLING,512
CA4814,NKG,Nanjing,TAO,Qingdao,1667526900,1667532300,90,189,9,SELLING,762
CA4762,NKG,Nanjing,TAO,Qingdao,1667561700,1667567100,90,189,9,SELLING,762
ZH5125,NKG,Nanjing,TAO,Qingdao,1667550600,1667555100,75,220,9,SELLING,783
SC4698,NKG,Nanjing,TAO,Qingdao,1667561700,1667567100,90,189,10,SELLING,436
SC4784,NKG,Nanjing,TAO,Qingdao,1667526900,1667532300,90,189,10,SELLING,436
HO1797,NKG,Nanjing,TAO,Qingdao,1667550600,1667555100,75,220,9,SELLING,381
MU9773,NKG,Nanjing,TAO,Qingdao,1667544000,1667548500,75,134,10,SELLING,435
MU6414,NKG,Nanjing,TAO,Qingdao,1667548200,1667553300,85,180,10,SELLING,381
MU2923,NKG,Nanjing,TAO,Qingdao,1667520900,1667525400,75,189,9,SELLING,371
MU2863,NKG,Nanjing,XMN,Amoy,1667556000,1667563200,120,180,10,SELLING,467
MU2879,NKG,Nanjing,XMN,Amoy,1667539800,1667546700,115,180,9,SELLING,599
MU2913,NKG,Nanjing,XMN,Amoy,1667547000,1667554200,120,180,1,SELLING,522
MU2809,NKG,Nanjing,XMN,Amoy,1667518200,1667525400,120,180,10,SELLING,467
MF8590,NKG,Nanjing,XMN,Amoy,1667550600,1667557200,110,189,6,SELLING,523
MF8508,NKG,Nanjing,XMN,Amoy,1667529000,1667535600,110,189,6,SELLING,599
MF8514,NKG,Nanjing,XMN,Amoy,1667536200,1667543100,115,189,6,SELLING,599
HO1795,NKG,Nanjing,XMN,Amoy,1667560500,1667567400,115,179,9,SELLING,424
CZ9718,NKG,Nanjing,XMN,Amoy,1667567400,1667573700,105,189,9,SELLING,924
CZ4426,NKG,Nanjing,XMN,Amoy,1667529000,1667535600,110,189,9,SELLING,1033
CZ4504,NKG,Nanjing,XMN,Amoy,1667550600,1667557200,110,189,9,SELLING,1033
CZ4432,NKG,Nanjing,XMN,Amoy,1667536200,1667543100,115,189,9,SELLING,1033
GJ5726,NKG,Nanjing,XMN,Amoy,1667529000,1667535600,110,189,9,SELLING,848
GJ5804,NKG,Nanjing,XMN,Amoy,1667550600,1667557200,110,189,9,SELLING,848
GJ5732,NKG,Nanjing,XMN,Amoy,1667536200,1667543100,115,189,9,SELLING,848
CA4672,NKG,Nanjing,XMN,Amoy,1667538000,1667545200,120,189,9,SELLING,729
CA4813,NKG,Nanjing,XMN,Amoy,1667548800,1667555400,110,189,9,SELLING,729
SC4783,NKG,Nanjing,XMN,Amoy,1667548800,1667555400,110,189,10,SELLING,534
SC2186,NKG,Nanjing,XMN,Amoy,1667538000,1667545200,120,189,10,SELLING,599
NS3225,NKG,Nanjing,XMN,Amoy,1667567400,1667573700,105,189,9,SELLING,425
ZH5177,NKG,Nanjing,XMN,Amoy,1667560500,1667567400,115,179,9,SELLING,805
MU8796,SHA,Shanghai,BJS,Beijing,1667530500,1667538600,135,180,9,SELLING,892
MU5123,SHA,Shanghai,BJS,Beijing,1667559600,1667568000,140,220,9,SELLING,729
MU5101,SHA,Shanghai,BJS,Beijing,1667520000,1667528100,135,220,9,SELLING,729
MU5157,SHA,Shanghai,BJS,Beijing,1667539800,1667548200,140,242,9,SELLING,1022
MU5113,SHA,Shanghai,BJS,Beijing,1667541600,1667550000,140,242,9,SELLING,729
MU5165,SHA,Shanghai,BJS,Beijing,1667568600,1667577000,140,242,9,SELLING,729
MU5121,SHA,Shanghai,BJS,Beijing,1667556000,1667564100,135,262,9,SELLING,729
MU5111,SHA,Shanghai,BJS,Beijing,1667538000,1667546400,140,242,9,SELLING,729
MU5127,SHA,Shanghai,BJS,Beijing,1667566800,1667575800,150,242,9,SELLING,729
MU5105,SHA,Shanghai,BJS,Beijing,1667527200,1667535300,135,262,9,SELLING,729
MU5117,SHA,Shanghai,BJS,Beijing,1667548800,1667557200,140,400,9,SELLING,729
MU5125,SHA,Shanghai,BJS,Beijing,1667563200,1667572200,150,242,9,SELLING,729
MU5103,SHA,Shanghai,BJS,Beijing,1667523600,1667532000,140,400,9,SELLING,729
MU5115,SHA,Shanghai,BJS,Beijing,1667545200,1667553300,135,420,9,SELLING,729
MU5159,SHA,Shanghai,BJS,Beijing,1667543400,1667551800,140,189,9,SELLING,729
MU5109,SHA,Shanghai,BJS,Beijing,1667534400,1667542800,140,242,9,SELLING,729
MU5107,SHA,Shanghai,BJS,Beijing,1667530800,1667539200,140,220,9,SELLING,729
MU5129,SHA,Shanghai,BJS,Beijing,1667523900,1667532300,140,420,9,SELLING,603
MU8860,SHA,Shanghai,BJS,Beijing,1667559900,1667567700,130,180,9,SELLING,1076
MU5119,SHA,Shanghai,BJS,Beijing,1667552400,1667560500,135,262,9,SELLING,729
MU5161,SHA,Shanghai,BJS,Beijing,1667547000,1667556000,150,220,9,SELLING,729
MU5195,SHA,Shanghai,BJS,Beijing,1667560800,1667570400,160,220,9,SELLING,859
MU5099,SHA,Shanghai,BJS,Beijing,1667516400,1667524800,140,420,9,SELLING,729
MF8558,SHA,Shanghai,BJS,Beijing,1667534100,1667543100,150,189,6,SELLING,718
MF8556,SHA,Shanghai,BJS,Beijing,1667565000,1667573700,145,189,6,SELLING,718
MF3024,SHA,Shanghai,BJS,Beijing,1667530800,1667539200,140,220,9,SELLING,1141
MF3001,SHA,Shanghai,BJS,Beijing,1667520000,1667528100,135,220,9,SELLING,1141
MF3054,SHA,Shanghai,BJS,Beijing,1667560800,1667570400,160,220,9,SELLING,1141
MF3042,SHA,Shanghai,BJS,Beijing,1667539800,1667548200,140,242,9,SELLING,1141
MF3009,SHA,Shanghai,BJS,Beijing,1667523600,1667532000,140,400,9,SELLING,1141
MF3019,SHA,Shanghai,BJS,Beijing,1667516400,1667524800,140,420,9,SELLING,1141
MF3017,SHA,Shanghai,BJS,Beijing,1667523900,1667532300,140,420,9,SELLING,1141
MF3038,SHA,Shanghai,BJS,Beijing,1667534400,1667542800,140,242,9,SELLING,1141
MF3005,SHA,Shanghai,BJS,Beijing,1667527200,1667535300,135,262,9,SELLING,1141
HO5317,SHA,Shanghai,BJS,Beijing,1667562300,1667570400,135,180,9,SELLING,781
HO5319,SHA,Shanghai,BJS,Beijing,1667550600,1667559600,150,311,9,SELLING,633
HO1251,SHA,Shanghai,BJS,Beijing,1667518200,1667527800,160,240,9,SELLING,396
HO5315,SHA,Shanghai,BJS,Beijing,1667535900,1667544900,150,180,9,SELLING,810
HO5320,SHA,Shanghai,BJS,Beijing,1667516400,1667524800,140,420,9,SELLING,1174
HO5323,SHA,Shanghai,BJS,Beijing,1667541600,1667550000,140,242,9,SELLING,1445
HU7602,SHA,Shanghai,BJS,Beijing,1667566500,1667574900,140,189,4,SELLING,1061
HU7608,SHA,Shanghai,BJS,Beijing,1667532900,1667540700,130,189,9,SELLING,610
HU7610,SHA,Shanghai,BJS,Beijing,1667561100,1667570400,155,293,4,SELLING,1060
HU7604,SHA,Shanghai,BJS,Beijing,1667522100,1667530500,140,189,9,SELLING,610
CZ4474,SHA,Shanghai,BJS,Beijing,1667534100,1667543100,150,189,9,SELLING,1336
CZ8880,SHA,Shanghai,BJS,Beijing,1667535900,1667544900,150,180,9,SELLING,946
CZ8886,SHA,Shanghai,BJS,Beijing,1667562300,1667570400,135,180,9,SELLING,946
CZ4472,SHA,Shanghai,BJS,Beijing,1667565000,1667573700,145,189,9,SELLING,1336
CZ8884,SHA,Shanghai,BJS,Beijing,1667552400,1667560800,140,162,9,SELLING,946
CZ8888,SHA,Shanghai,BJS,Beijing,1667550600,1667559600,150,311,9,SELLING,946
GJ5774,SHA,Shanghai,BJS,Beijing,1667534100,1667543100,150,189,9,SELLING,1076
GJ5772,SHA,Shanghai,BJS,Beijing,1667565000,1667573700,145,189,9,SELLING,1076
ZH5029,SHA,Shanghai,BJS,Beijing,1667518200,1667527800,160,240,9,SELLING,1174
KN5956,SHA,Shanghai,BJS,Beijing,1667559900,1667567700,130,180,6,SELLING,425
KN5738,SHA,Shanghai,BJS,Beijing,1667530500,1667538600,135,180,9,SELLING,425
